User's manual r01uh0330ej0210_rl78l12; Version 1.00; November 15, 2016
RegisterName,RegisterBookmark,RegisterTableCaption,NumberOfAppearance,ModuleInformation,SearchKey
MK2,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",,,
PMK6,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
PMK7,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
MDMK,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
FLMK,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
MK2L,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",,,
PR02,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(1/2)",,,
PPR06,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PPR07,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
MDPR0,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
FLPR0,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PR02L,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(1/2)",,,
PR12,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(1/2)",,,
PPR16,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PPR17,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
MDPR1,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
FLPR1,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PR12L,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(1/2)",,,
IF0,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",,,
WDTIIF,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
LVIIF,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
PIF0,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
PIF1,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
PIF2,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
PIF3,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
PIF4,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
PIF5,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
IF0L,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",,,
IF0H,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",,,
DMAIF0,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
DMAIF1,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
CSIIF00,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
STIF0,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
CSIIF01,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
SRIF0,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
SREIF0,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
TMIF01H,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
TMIF00,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
IF1,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",,,
TMIF03H,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
IICAIF0,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
TMIF01,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
TMIF02,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
TMIF03,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
ADIF,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
RTCIF,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
ITIF,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
IF1L,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",,,
IF1H,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",,,
KRIF,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
TMIF04,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
TMIF05,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
TMIF06,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
TMIF07,"17.3.1  Interrupt request flag registers (IF0L, IF0H, IF1L, IF1H, IF2L) ","Figure17-2.FormatofInterruptRequestFlagRegisters(IF0L,IF0H,IF1L,IF1H,IF2L)(64-pinproducts)",1,,XXIFX
MK0,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",,,
WDTIMK,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
LVIMK,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
PMK0,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
PMK1,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
PMK2,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
PMK3,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
PMK4,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
PMK5,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
MK0L,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",,,
MK0H,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",,,
DMAMK0,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
DMAMK1,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
CSIMK00,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
STMK0,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
CSIMK01,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
SRMK0,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
SREMK0,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
TMMK01H,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
TMMK00,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
MK1,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",,,
TMMK03H,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
IICAMK0,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
TMMK01,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
TMMK02,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
TMMK03,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
ADMK,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
RTCMK,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
ITMK,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
MK1L,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",,,
MK1H,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",,,
KRMK,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
TMMK04,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
TMMK05,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
TMMK06,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
TMMK07,"17.3.2  Interrupt mask flag registers (MK0L, MK0H, MK1L, MK1H, MK2L)","Figure17-3.FormatofInterruptMaskFlagRegisters(MK0L,MK0H,MK1L,MK1H,MK2L)(64-pinproducts)",1,,XXMKX
PR00,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(1/2)",,,
WDTIPR0,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
LVIPR0,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PPR00,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PPR01,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PPR02,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PPR03,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PPR04,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PPR05,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
PR00L,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(1/2)",,,
PR00H,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(1/2)",,,
DMAPR00,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
DMAPR01,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
CSIPR000,"17.3.3  Priority specification flag registers (PR00L, PR00H, PR01L, PR01H, PR02L, PR10L, PR10H, PR11L, PR11H, PR12L)","Figure17-4.FormatofPrioritySpecificationFlagRegisters(PR00L,PR00H,PR01L,PR01H,PR02L,PR10L,PR10H,PR11L,PR11H,PR12L)(64-pinproducts)(2/2)",1,,XXPR1X
